XcorSP	YcorSP	ZcorSP	XcorSN	YcorSN	ZcorSN	XcorHP	YcorHP	ZcorHP	XcorHN	YcorHN	ZcorHN
0	0.015106661	-1.37E-05	0	0.015106661	1.37E-05	0	0.006474283	-5.86E-06	0	0.006474283	5.86E-06
2.00E-05	0.01510686	0.000993463	1.82E-05	0.015106446	0.001020758	0.004070123	-0.004717357	0.001168786	0.005065205	-0.004487709	0.000845435
4.01E-05	0.015106607	0.002000381	3.64E-05	0.015106771	0.002028062	-0.000816062	-0.006454399	0.002221842	-0.001013557	-0.006445667	0.0018066
6.02E-05	0.015107093	0.003007129	5.46E-05	0.015106784	0.003035535	0.001127502	-0.006452485	0.003442285	0.001360399	-0.006439664	0.002600379
8.00E-05	0.015109216	0.004013938	7.31E-05	0.015106163	0.004042947	0.00619344	2.64E-05	0.004465706	0.007070654	0.000412655	0.003591179
1.00E-04	0.015107306	0.005024566	9.13E-05	0.015111381	0.005046541	-0.004575549	0.004599941	0.004903173	-0.005033704	0.004815784	0.005167935
0.000120469	0.015113701	0.00602726	0.000109173	0.015111129	0.006058069	0.004513651	-0.005017169	0.006718775	0.004864555	-0.004937271	0.005366553
0.000140077	0.01511443	0.007039766	0.000127931	0.015120642	0.007059784	-0.006616227	0.001494235	0.007294133	-0.006960285	0.001670193	0.006805417
0.000160364	0.015128769	0.008040178	0.000146095	0.015122131	0.008073593	0.004607734	0.005309799	0.007806053	0.004791663	0.005395366	0.008307718
0.00018123	0.015138998	0.009047403	0.000163806	0.015135038	0.00908059	0.004772099	-0.005468616	0.009773454	0.004930048	-0.005432722	0.008354538
0.000201626	0.01515083	0.010058646	0.000182165	0.015155598	0.010083568	-0.00484458	-0.00567614	0.01077288	-0.004969788	-0.005645466	0.009369334
0.000220915	0.015169375	0.011070611	0.00020188	0.015180877	0.011085824	-0.006908519	0.003251254	0.011183477	-0.007033575	0.003326822	0.010972959
0.00024324	0.015205209	0.012068431	0.000218887	0.015202705	0.012102226	0.00097524	0.007884077	0.011305695	0.000991793	0.007885779	0.012864962
